0, 44.78cm,
1, 44.38cm,
2, 44.81cm,
3, 44.38cm,
4, 44.38cm,
5, 44.38cm,
6, 44.38cm,
7, 44.38cm,
8, 44.83cm,
9, 44.83cm,
10, 44.83cm,
11, 44.83cm,
12, 44.83cm,
13, 44.24cm,
14, 44.24cm,
15, 44.71cm,
16, 44.24cm,
17, 44.73cm,
18, 45.14cm,
19, 44.67cm,
20, 44.71cm,
21, 44.83cm,
22, 44.76cm,
23, 44.83cm,
24, 44.35cm,
25, 45.26cm,
26, 44.28cm,
27, 44.71cm,
28, 44.28cm,
29, 44.26cm,
30, 44.28cm,
31, 44.69cm,
32, 44.71cm,
33, 44.71cm,
34, 44.79cm,
35, 44.83cm,
36, 45.24cm,
37, 45.24cm,
38, 45.24cm,
39, 45.15cm,
40, 45.14cm,
41, 44.73cm,
42, 44.73cm,
43, 44.71cm,
44, 44.73cm,
45, 44.83cm,
46, 44.81cm,
47, 44.81cm,
48, 44.35cm,
49, 44.76cm,
50, 44.76cm,
51, 44.24cm,
52, 44.73cm,
